cutoff_bohr,n_points,total_range_hartree,electronic_range_hartree,total_std_hartree,electronic_std_hartree,total_over_electronic_std
0.15,401,5.313705248813155,1.4055712541558867,1.2556320892264186,0.5064145548726595,2.479454978426032
0.25,359,2.693011345279953,1.3479201188437995,0.618798200569953,0.46742847688217065,1.323835048941487
0.4,320,1.2798592173322878,1.247941217473263,0.27579913779559107,0.4153590748033684,0.6640017144831969
0.7,275,0.41922166659998505,1.0608123156943794,0.07855781221907762,0.3364482588915176,0.23349151063494533
1.0,245,0.145149223793209,0.8964295103859914,0.03956163923756623,0.2758086060803898,0.14343874108857654
1.5,212,0.10260983630237475,0.6942104455801212,0.039862230858228605,0.20692004296844269,0.1926455759740393
2.0,189,0.10260983630237475,0.5511397359792767,0.03607198858651757,0.16074719842382432,0.22440197365935147
3.0,156,0.07742409159299957,0.36037772976317517,0.022811803475538846,0.10204520195257862,0.22354606624366044
