cutoff_bohr,fold,seed,scheme,n_train,n_test,best_standardized_mse,final_standardized_mse,best_step
0.15,0,11,A,320,81,0.018792248678853273,0.018792248678853273,20000
0.15,0,29,A,320,81,0.009032844261903927,0.009032844261903927,20000
0.15,0,47,A,320,81,0.018959433563261574,0.018959433563261574,20000
0.15,0,71,A,320,81,0.009679866596118884,0.009679866596118884,20000
0.15,0,101,A,320,81,0.00967509540284278,0.00967509540284278,20000
0.15,0,11,B,320,81,2.7553807361504253e-05,2.7553807361504253e-05,20000
0.15,0,29,B,320,81,4.624278103616597e-05,4.624278103616597e-05,20000
0.15,0,47,B,320,81,3.983835695063253e-05,3.983835695063253e-05,20000
0.15,0,71,B,320,81,4.467413047418632e-05,4.467413047418632e-05,20000
0.15,0,101,B,320,81,2.1568714634884527e-05,2.1568714634884527e-05,20000
0.15,1,11,A,321,80,0.019408935396096786,0.019408935396096786,20000
0.15,1,29,A,321,80,0.009390345730252977,0.009390345730252977,20000
0.15,1,47,A,321,80,0.019624196323115368,0.019624196323115368,20000
0.15,1,71,A,321,80,0.010082815829992278,0.010082815829992278,20000
0.15,1,101,A,321,80,0.010069879521712127,0.010069879521712127,20000
0.15,1,11,B,321,80,2.7376722678938983e-05,2.7376722678938983e-05,20000
0.15,1,29,B,321,80,4.61240104069539e-05,4.61240104069539e-05,20000
0.15,1,47,B,321,80,4.007148924578043e-05,4.007148924578043e-05,20000
0.15,1,71,B,321,80,4.470005058963044e-05,4.470005058963044e-05,20000
0.15,1,101,B,321,80,2.181586198909769e-05,2.181586198909769e-05,20000
0.15,2,11,A,321,80,0.01892962090876845,0.01892962090876845,20000
0.15,2,29,A,321,80,0.009098187918706693,0.009098187918706693,20000
0.15,2,47,A,321,80,0.019104827862686618,0.019104827862686618,20000
0.15,2,71,A,321,80,0.009783236456875632,0.009783236456875632,20000
0.15,2,101,A,321,80,0.009752992653901883,0.009752992653901883,20000
0.15,2,11,B,321,80,2.7176460797912772e-05,2.7176460797912772e-05,20000
0.15,2,29,B,321,80,4.5859896127099035e-05,4.5859896127099035e-05,20000
0.15,2,47,B,321,80,3.9763214846767044e-05,3.9763214846767044e-05,20000
0.15,2,71,B,321,80,4.444062827917997e-05,4.444062827917997e-05,20000
0.15,2,101,B,321,80,2.1632631589344395e-05,2.1632631589344395e-05,20000
0.15,3,11,A,321,80,0.01898852735285659,0.01898852735285659,20000
0.15,3,29,A,321,80,0.009188926702072815,0.009188926702072815,20000
0.15,3,47,A,321,80,0.019176916993922877,0.019176916993922877,20000
0.15,3,71,A,321,80,0.009878298130767627,0.009878298130767627,20000
0.15,3,101,A,321,80,0.009851388571720222,0.009851388571720222,20000
0.15,3,11,B,321,80,2.7127046176313315e-05,2.7127046176313315e-05,20000
0.15,3,29,B,321,80,4.5793830884538615e-05,4.5793830884538615e-05,20000
0.15,3,47,B,321,80,3.9669499821110325e-05,3.9669499821110325e-05,20000
0.15,3,71,B,321,80,4.4340120329282195e-05,4.4340120329282195e-05,20000
0.15,3,101,B,321,80,2.156057700091197e-05,2.156057700091197e-05,20000
0.15,4,11,A,321,80,0.01933497979771592,0.01933497979771592,20000
0.15,4,29,A,321,80,0.009366213965513773,0.009366213965513773,20000
0.15,4,47,A,321,80,0.01955504473870163,0.01955504473870163,20000
0.15,4,71,A,321,80,0.01004795079602212,0.01004795079602212,20000
0.15,4,101,A,321,80,0.010048707283764679,0.010048707283764679,20000
0.15,4,11,B,321,80,2.755686180391365e-05,2.755686180391365e-05,20000
0.15,4,29,B,321,80,4.6435253996078034e-05,4.6435253996078034e-05,20000
0.15,4,47,B,321,80,4.0153219325584834e-05,4.0153219325584834e-05,20000
0.15,4,71,B,321,80,4.494279505045397e-05,4.494279505045397e-05,20000
0.15,4,101,B,321,80,2.1820600841909024e-05,2.1820600841909024e-05,20000
0.25,0,11,A,286,73,0.008053451813228998,0.008053451813228998,20000
0.25,0,29,A,286,73,0.003678787748629791,0.003678787748629791,20000
0.25,0,47,A,286,73,0.008412377704745403,0.008412377704745403,20000
0.25,0,71,A,286,73,0.004002178570925153,0.004002178570925153,20000
0.25,0,101,A,286,73,0.003571899350686728,0.003571899350686728,20000
0.25,0,11,B,286,73,7.632904213772924e-06,7.632904213772924e-06,20000
0.25,0,29,B,286,73,1.2058448074879557e-05,1.2058448074879557e-05,20000
0.25,0,47,B,286,73,1.5071489569515266e-05,1.5071489569515266e-05,20000
0.25,0,71,B,286,73,1.3480353628930507e-05,1.3480353628930507e-05,20000
0.25,0,101,B,286,73,5.202036232371604e-06,5.202036232371604e-06,20000
0.25,1,11,A,288,71,0.008435516327795042,0.008435516327795042,20000
0.25,1,29,A,288,71,0.003860583410891278,0.003860583410891278,20000
0.25,1,47,A,288,71,0.008821753447437585,0.008821753447437585,20000
0.25,1,71,A,288,71,0.00422365132822455,0.00422365132822455,20000
0.25,1,101,A,288,71,0.0037970766519526775,0.0037970766519526775,20000
0.25,1,11,B,288,71,7.762216396875824e-06,7.762216396875824e-06,20000
