Structure: LiNbO3_extended
Alpha_zz: 157.283466 a.u.
R-squared: 0.925770

Field-Dipole Data:
Field (a.u.)	Dipole_z (a.u.)
-0.002000	1.214738
-0.001000	1.056038
0.000000	0.742083
0.001000	0.742100
0.002000	0.585289
