cnnc_deg,s0_rel_kjmol,t1_rel_kjmol,both_converged,gap_kjmol
180,0,105.2402599048018,false,-105.2402599048018
165,4.915463229056854,103.59511808907635,true,-98.6796548600195
150,19.774231080277765,101.83365696863801,true,-82.05942588836024
135,42.22846843413782,102.10130472628367,true,-59.872836292145855
120,66.78228079321626,104.55047415869248,true,-37.76819336547622
105,77.85850837004885,108.62049870199476,true,-30.76199033194591
90,37.13137594262237,113.39112675470429,false,-76.25975081208192
75,37.58720410147571,118.53609916657103,false,-80.94889506509531
60,138.2153824413624,124.56407720820286,false,13.651305233159547
45,89.91852989317218,131.38811721123946,false,-41.46958731806728
30,76.06036462904619,142.58940986839517,false,-66.52904523934897
15,69.90063554576682,143.62817050138136,false,-73.72753495561454
0,70.41821571552597,147.0794843719031,false,-76.66126865637713
