cnnc_deg,s0_rel_kjmol,t1_rel_kjmol,both_converged,gap_kjmol
180,0,136.32075809510684,true,-136.32075809510684
165,6.869902561990726,133.54549008022826,true,-126.67558751823753
150,27.431925821092072,127.29972124994632,true,-99.86779542885424
135,60.32641062610517,120.86703661714172,true,-60.54062599103655
120,102.52565110548711,116.34591507134661,true,-13.820263965859496
105,149.31750233635663,114.67913574648968,true,34.63836658986695
90,148.15389128283036,116.33210801226089,false,31.82178327056947
75,126.79210316024731,122.25828044433882,false,4.533822715908485
60,112.96585432149915,133.05508559902148,true,-20.08923127752233
45,87.1424890254686,151.80386813112773,false,-64.66137910565912
30,62.726275624782026,161.8064842869413,true,-99.08020866215927
15,68.71264973530369,173.76732815305175,false,-105.05467841774806
0,63.98714181924324,182.35825617784909,false,-118.37111435860584
