cnnc_deg,s0_rel_kjmol,t1_rel_kjmol,both_converged,gap_kjmol
180,0,143.92540443875956,true,-143.92540443875956
165,6.933491340873336,140.0800976291817,true,-133.14660628830836
150,27.666251079173,131.98000917606134,true,-104.31375809688834
135,60.84332849940172,124.08208112858013,true,-63.23875262917841
120,103.57393498267668,118.61164278191784,true,-15.037707799241161
105,151.5439962211161,116.36559740270675,true,35.178398818409335
90,197.41125973810446,117.81742129029767,true,79.59383844780679
75,155.01098910527625,123.91995189075884,true,31.091037214517414
60,116.5190265629326,135.26746855737284,true,-18.748441994440242
45,92.38000786378396,155.8401691238941,false,-63.46016126011014
30,164.93780586998457,166.50534635920098,true,-1.5675404892164124
15,189.0839063824215,179.86844615056913,true,9.215460231852376
0,176.3843890277432,189.4126967021303,true,-13.028307674387094
