cnnc_deg,s0_rel_kjmol,t1_rel_kjmol,both_converged,gap_kjmol
180,0,133.51691759857368,true,-133.51691759857368
165,6.652206091237299,130.99960208485504,true,-124.34739599361774
150,26.860596539438454,125.19717513651118,true,-98.33657859707273
135,59.311190849040976,119.11350376825982,true,-59.80231291921884
120,100.92575993886635,114.8786846446049,true,-13.952924705738553
105,146.9412553728028,113.50903282343506,true,33.43222254936774
90,83.97154069756087,115.48660554747954,false,-31.515064849918673
75,142.61323943458413,121.69162437241089,true,20.921615062173245
60,104.92710108503397,132.62355882507694,true,-27.696457740042973
45,81.96081865002608,151.7892612749989,false,-69.82844262497281
30,55.885123697753464,160.95776000138153,true,-105.07263630362806
15,66.07046783599132,172.77031180825523,false,-106.6998439722639
0,61.033549931847006,181.43530955041885,false,-120.40175961857184
