ion,angle,energy_eh,q_o_mbis,q_coo_mbis,converged_optking,converged_exit
m1_cf3,0,-526.3584028658595,-0.704065,-0.789764,true,true
m1_cf3,15,-526.3583810134095,-0.703896,-0.790065,true,true
m1_cf3,30,-526.3583580694753,-0.703541,-0.790050,true,true
m1_cf3,45,-526.3583799572459,-0.703898,-0.790049,true,true
m1_cf3,60,-526.3584028801464,-0.704052,-0.789667,true,true
m1_cf3,75,-526.3583715704818,-0.703867,-0.790056,true,true
m1_cf3,90,-526.3583582078184,-0.7035455,-0.790060,true,true
m1_cf3,105,-526.3583820796463,-0.7038815,-0.790021,true,true
m1_cf3,120,-526.3584030116546,-0.7040525,-0.789660,true,true
