molecule,functional,state,energy_eV,wavelength_nm,f,hole_particle_dist_ang,type,dominant_transition,dominant_weight_pct
nitrobenzene,B3LYP,10,6.6304,186.99,0.0,3.1,dark/weak,HOMO-3->LUMO+1,97.1
nitrobenzene,B3LYP,11,6.789,182.63,0.0,2.56,dark/weak,HOMO-2->LUMO+2,95.3
nitrobenzene,B3LYP,12,6.883,180.13,0.00678,3.33,dark/weak,HOMO-4->LUMO+1,96.5
nitrobenzene,CAM-B3LYP,1,4.0221,308.26,0.0,1.35,dark/weak,HOMO-2->LUMO,89.3
nitrobenzene,CAM-B3LYP,2,4.4836,276.53,0.00025,1.15,dark/weak,HOMO-4->LUMO,89.8
nitrobenzene,CAM-B3LYP,3,4.8554,255.35,0.01818,1.87,pi->pi*,HOMO->LUMO,85.1
nitrobenzene,CAM-B3LYP,4,5.1708,239.78,0.20988,1.8,pi->pi*,HOMO-1->LUMO,93.4
nitrobenzene,CAM-B3LYP,5,6.2296,199.02,0.00213,0.12,dark/weak,HOMO-1->LUMO+1,43.7
nitrobenzene,CAM-B3LYP,6,6.5428,189.5,0.16951,1.42,pi->pi*,HOMO-3->LUMO,61.0
nitrobenzene,CAM-B3LYP,7,6.6093,187.59,0.27423,0.06,pi->pi*,HOMO->LUMO+1,79.7
nitrobenzene,CAM-B3LYP,8,7.0816,175.08,0.0,1.98,dark/weak,HOMO-5->LUMO,92.0
nitrobenzene,CAM-B3LYP,9,7.5773,163.63,0.00023,3.27,dark/weak,HOMO-2->LUMO+1,77.8
nitrobenzene,CAM-B3LYP,10,7.6277,162.54,0.2618,0.72,pi->pi*,HOMO-1->LUMO+2,78.1
nitrobenzene,CAM-B3LYP,11,7.6487,162.1,0.46736,0.78,pi->pi*,HOMO->LUMO+2,73.4
nitrobenzene,CAM-B3LYP,12,7.6678,161.69,0.00132,2.54,dark/weak,HOMO-6->LUMO,59.3
pNA,B3LYP,1,3.9098,317.11,0.0,1.31,dark/weak,HOMO-2->LUMO,97.1
pNA,B3LYP,2,3.9836,311.24,0.32146,2.63,CT,HOMO->LUMO,96.6
pNA,B3LYP,3,4.4387,279.33,0.00024,1.18,dark/weak,HOMO-3->LUMO,97.2
pNA,B3LYP,4,4.52,274.3,0.00078,1.88,dark/weak,HOMO-1->LUMO,58.0
pNA,B3LYP,5,5.0177,247.09,0.05737,0.65,pi->pi*,HOMO->LUMO+1,54.6
pNA,B3LYP,6,5.6637,218.91,0.00309,0.81,dark/weak,HOMO->LUMO+2,66.8
pNA,B3LYP,7,6.043,205.17,2e-05,3.28,dark/weak,HOMO-2->LUMO+1,99.9
pNA,B3LYP,8,6.098,203.32,0.00038,0.69,dark/weak,HOMO->LUMO+3,53.5
pNA,B3LYP,9,6.1465,201.72,0.06678,1.3,pi->pi*,HOMO-4->LUMO,90.6
pNA,B3LYP,10,6.4578,191.99,0.0,3.16,dark/weak,HOMO-3->LUMO+1,99.3
pNA,B3LYP,11,6.4914,191.0,0.05167,2.39,CT,HOMO-5->LUMO,85.8
pNA,B3LYP,12,6.5856,188.26,0.21514,3.27,CT,HOMO-4->LUMO+1,62.4
pNA,CAM-B3LYP,1,4.0599,305.39,0.0,1.37,dark/weak,HOMO-2->LUMO,90.8
pNA,CAM-B3LYP,2,4.4024,281.63,0.37545,2.55,CT,HOMO->LUMO,94.8
pNA,CAM-B3LYP,3,4.5731,271.12,0.0003,1.23,dark/weak,HOMO-4->LUMO,91.2
pNA,CAM-B3LYP,4,4.7876,258.97,0.00706,0.64,dark/weak,HOMO->LUMO+1,63.9
pNA,CAM-B3LYP,5,5.5926,221.69,0.07726,1.86,pi->pi*,HOMO-1->LUMO,66.6
pNA,CAM-B3LYP,6,6.0563,204.72,0.00136,2.29,dark/weak,HOMO->LUMO+2,93.3
pNA,CAM-B3LYP,7,6.3844,194.2,0.01891,0.88,pi->pi*,HOMO->LUMO+3,63.9
pNA,CAM-B3LYP,8,6.4935,190.94,0.15212,1.41,pi->pi*,HOMO-3->LUMO,93.4
pNA,CAM-B3LYP,9,6.9693,177.9,0.53589,0.05,pi->pi*,HOMO-1->LUMO+1,64.3
pNA,CAM-B3LYP,10,7.0514,175.83,0.00038,1.79,dark/weak,HOMO->LUMO+4,89.4
pNA,CAM-B3LYP,11,7.3406,168.9,1e-05,1.95,dark/weak,HOMO-6->LUMO,91.1
pNA,CAM-B3LYP,12,7.3492,168.71,0.00468,0.27,dark/weak,HOMO->LUMO+5,91.1
