nm,benzene_b3lyp,benzene_camb3lyp,aniline_b3lyp,aniline_camb3lyp,nitrobenzene_b3lyp,nitrobenzene_camb3lyp,pNA_b3lyp,pNA_camb3lyp
287,8.54e-68,1.246e-72,150.5,3.648,1162,12.64,1950,2.482e+04
287.5,3.397e-68,4.809e-73,133,3.026,1122,11.71,2177,2.41e+04
288,1.352e-68,1.857e-73,117.3,2.504,1082,10.83,2424,2.335e+04
288.5,5.386e-69,7.176e-74,103.2,2.069,1042,10.02,2693,2.256e+04
289,2.147e-69,2.775e-74,90.61,1.706,1003,9.268,2984,2.175e+04
289.5,8.563e-70,1.074e-74,79.4,1.405,964.2,8.564,3297,2.092e+04
290,3.418e-70,4.16e-75,69.44,1.154,925.5,7.906,3635,2.008e+04
290.5,1.365e-70,1.613e-75,60.6,0.9467,887,7.292,3997,1.922e+04
291,5.456e-71,6.257e-76,52.79,0.7751,848.8,6.719,4383,1.836e+04
291.5,2.183e-71,2.43e-76,45.9,0.6335,811,6.183,4794,1.75e+04
292,8.737e-72,9.443e-77,39.82,0.5169,773.5,5.684,5230,1.664e+04
292.5,3.5e-72,3.673e-77,34.49,0.4211,736.6,5.217,5691,1.578e+04
293,1.403e-72,1.43e-77,29.81,0.3424,700.1,4.783,6177,1.494e+04
293.5,5.629e-73,5.571e-78,25.72,0.278,664.3,4.378,6687,1.412e+04
294,2.26e-73,2.172e-78,22.15,0.2254,629.2,4.001,7221,1.331e+04
294.5,9.081e-74,8.478e-79,19.05,0.1824,594.8,3.652,7777,1.252e+04
295,3.652e-74,3.312e-79,16.34,0.1473,561.3,3.327,8356,1.175e+04
295.5,1.47e-74,1.295e-79,14,0.1189,528.6,3.027,8955,1.1e+04
296,5.919e-75,5.068e-80,11.97,0.09574,497,2.749,9573,1.029e+04
296.5,2.386e-75,1.985e-80,10.22,0.07699,466.3,2.493,1.021e+04,9597
297,9.625e-76,7.782e-81,8.708,0.06182,436.8,2.257,1.086e+04,8935
297.5,3.886e-76,3.054e-81,7.408,0.04957,408.3,2.039,1.152e+04,8302
298,1.57e-76,1.199e-81,6.292,0.03969,381,1.84,1.22e+04,7698
298.5,6.35e-77,4.715e-82,5.335,0.03173,354.8,1.657,1.289e+04,7125
299,2.57e-77,1.855e-82,4.516,0.02533,329.9,1.49,1.358e+04,6582
299.5,1.041e-77,7.308e-83,3.817,0.02019,306.1,1.338,1.427e+04,6068
300,4.222e-78,2.881e-83,3.22,0.01607,283.5,1.199,1.497e+04,5584
300.5,1.713e-78,1.137e-83,2.713,0.01278,262.1,1.073,1.566e+04,5129
301,6.958e-79,4.491e-84,2.282,0.01014,241.9,0.9585,1.635e+04,4702
301.5,2.828e-79,1.776e-84,1.917,0.008041,222.8,0.8548,1.703e+04,4303
302,1.151e-79,7.027e-85,1.607,0.006366,204.9,0.761,1.77e+04,3931
302.5,4.686e-80,2.784e-85,1.346,0.005034,188.1,0.6765,1.836e+04,3585
303,1.91e-80,1.104e-85,1.125,0.003975,172.3,0.6003,1.9e+04,3263
303.5,7.791e-81,4.382e-86,0.9393,0.003135,157.6,0.5319,1.962e+04,2965
304,3.181e-81,1.741e-86,0.783,0.002469,144,0.4705,2.021e+04,2689
304.5,1.3e-81,6.924e-87,0.6518,0.001942,131.2,0.4155,2.078e+04,2435
305,5.318e-82,2.757e-87,0.5418,0.001526,119.4,0.3664,2.132e+04,2202
305.5,2.178e-82,1.099e-87,0.4497,0.001198,108.5,0.3226,2.182e+04,1987
306,8.924e-83,4.383e-88,0.3728,0.0009387,98.41,0.2836,2.23e+04,1790
306.5,3.66e-83,1.75e-88,0.3086,0.0007349,89.11,0.2489,2.273e+04,1610
